year,l_share_valid,pc_share_valid,g_share_valid,l_seats,pc_seats,g_seats,other_seats,total_seats,majority,government
2006,47.15760271116861,47.462021189022764,0,29,26,0,0,55,28,Liberal
2010,34.45346503757983,48.79647712660932,4.557730899387209,13,42,0,0,55,28,PC
2014,42.73213195279484,34.64769636761276,6.610014015209596,27,21,1,0,49,25,Liberal
2018,37.80362443245006,31.89058872708439,11.879704387650744,21,22,3,3,49,25,PC (formed government)
2020,34.34832031988329,39.34383460628213,15.241310094585996,17,27,3,2,49,25,PC
2024,48.25855907073328,35.053555080459404,13.76124016110564,31,16,2,0,49,25,Liberal
