premier,party,election_year,election_share_valid,day674_date,model_input,input_offset_days,gov_poll,top_opposition,gov_lead,swing_from_election,retention_ratio,gov_satisfaction,leader_metric,status,days_to_next_election,final_margin,margin_drift,outcome,grade
Shawn Graham,Liberal,2006,47.15760271116861,2008-07-23,CRA May 2008 quarterly value,NOT FOUND,51,36,15,3.8423972888313926,1.0814799113594757,59,Preferred premier 38,Majority,796,-14.343012089029493,-29.343012089029493,Lost government,A- retrospective primary table; field metadata incomplete
David Alward,PC,2010,48.79647712660932,2012-08-01,CRA (Global News corroboration),-71,44,32,12,-4.796477126609318,0.9017044383313946,45,Preferred premier 37,Majority,782,-8.084435585182078,-20.084435585182078,Lost government,B; original release identified but inaccessible
Brian Gallant,Liberal,2014,42.73213195279484,2016-07-27,MQO Research July 2016,-15,50,28,22,7.267868047205162,1.1700796968247174,49 (separate CRA wave),MQO leadership 4.8/10,Majority,789,5.913035705365665,-16.086964294634335,Popular-vote plurality; fewer seats; lost government,A- archived original
Blaine Higgs,PC,2018,31.890588727084392,2020-07-29,Angus Reid Institute,-68,39,26,13,7.109411272915608,1.2229313272877163,81 (Narrative telephone sensitivity),AR approval 80,Minority,47,4.995514286398837,-8.004485713601163,Re-elected with majority,"A; closest pre-cutoff poll, NB decided n=199"
Susan Holt,Liberal,2024,48.25855907073328,2026-08-26,Three-poll recency ensemble,-23.5,43.1541724958968,32.964969227287966,10.189203268608836,-5.104386574836475,0.8942283675035779,35 (Narrative online),AR approval 41,Majority,782 to ordinary date,,,Unknown,A/A- primary releases; derived ensemble
